	show_title	Timestamp	Title	Duration	Duration (s)	Type	Movie ID	Top Node ID	Device Type	Country	Date	day_of_week	month	show_excess
130	The Last Dance 	10	10	10	10	10	10	10	10	10	10	10	10	10
131	The Last Summer	1	1	1	1	1	1	1	1	1	1	1	1	0
132	The Office (U.S.) 	192	192	192	192	192	192	192	192	192	192	192	192	192
133	The Perfect Man	1	1	1	1	1	1	1	1	1	1	1	1	0
134	The Platform	1	1	1	1	1	1	1	1	1	1	1	1	0
135	The Prince & Me	1	1	1	1	1	1	1	1	1	1	1	1	0
136	The Queen's Gambit 	1	1	1	1	1	1	1	1	1	1	1	1	1
137	The Social Network	1	1	1	1	1	1	1	1	1	1	1	1	0
138	The Stranger 	5	5	5	5	5	5	5	5	5	5	5	5	5
139	The Trials of Gabriel Fernandez 	3	3	3	3	3	3	3	3	3	3	3	3	3
140	The Ugly Truth	1	1	1	1	1	1	1	1	1	1	1	1	0
141	The Wedding Planner	1	1	1	1	1	1	1	1	1	1	1	1	0
142	Think Like a Man	1	1	1	1	1	1	1	1	1	1	1	1	0
143	To All the Boys: P.S. I Still Love You	1	1	1	1	1	1	1	1	1	1	1	1	0
144	Unsolved Mysteries 	1	1	1	1	1	1	1	1	1	1	1	1	1
145	Veerappan	1	1	1	1	1	1	1	1	1	1	1	1	0
146	We Are Family	1	1	1	1	1	1	1	1	1	1	1	1	0
147	Wedding Crashers	1	1	1	1	1	1	1	1	1	1	1	1	0
148	Welcome	1	1	1	1	1	1	1	1	1	1	1	1	0
149	What the Love! with Karan Johar 	6	6	6	6	6	6	6	6	6	6	6	6	6
150	What to Expect When You're Expecting	1	1	1	1	1	1	1	1	1	1	1	1	0
151	You 	11	11	11	11	11	11	11	11	11	11	11	11	11
152	Zindagi Na Milegi Dobara	1	1	1	1	1	1	1	1	1	1	1	1	0
